Country Code,Country,Item Code,Item,Element Code,Element,Unit,Y1991,Y1991F,Y1992,Y1992F,Y1993,Y1993F,Y1994,Y1994F,Y1995,Y1995F,Y1996,Y1996F,Y1997,Y1997F,Y1998,Y1998F,Y1999,Y1999F,Y2000,Y2000F,Y2001,Y2001F,Y2002,Y2002F,Y2003,Y2003F,Y2004,Y2004F,Y2005,Y2005F,Y2006,Y2006F,Y2007,Y2007F,Y2008,Y2008F,Y2009,Y2009F,Y2010,Y2010F,Y2011,Y2011F,Y2012,Y2012F,Y2013,Y2013F,Y2014,Y2014F
"90","Guinea","489","Plantains","5530","Producer Price (LCU/tonne)","LCU","200000.000000","","210000.000000","","240000.000000","","240000.000000","","240000.000000","","155000.000000","","156946.000000","","396590.000000","","424670.000000","","322040.000000","","353700.000000","","339200.000000","","391070.000000","","157292.000000","","194987.000000","","276740.000000","","278698.000000","",,,,,,,,,,,,,,
"90","Guinea","489","Plantains","5531","Producer Price (SLC/tonne)","SLC","200000.000000","","210000.000000","","240000.000000","","240000.000000","","240000.000000","","155000.000000","","156946.000000","","396590.000000","","424670.000000","","322040.000000","","353700.000000","","339200.000000","","391070.000000","","157292.000000","","194987.000000","","276740.000000","","278698.000000","",,,,,,,,,,,,,,
"90","Guinea","489","Plantains","5532","Producer Price (USD/tonne)","USD","265.301918","","232.815629","","251.179918","","245.741404","","242.079096","","154.379856","","143.287152","","320.649854","","306.090308","","184.352585","","181.332726","","171.673472","","197.019418","","70.692081","","53.504211","","54.735915","","63.716907","",,,,,,,,,,,,,,
"90","Guinea","116","Potatoes","5530","Producer Price (LCU/tonne)","LCU",,,,,,,,,,,,,,,,,,,"595000.000000","","711000.000000","","728000.000000","","765000.000000","","376000.000000","","570029.000000","","954974.000000","","1073792.000000","",,,,,,,,,,,,,,
"90","Guinea","116","Potatoes","5531","Producer Price (SLC/tonne)","SLC",,,,,,,,,,,,,,,,,,,"595000.000000","","711000.000000","","728000.000000","","765000.000000","","376000.000000","","570029.000000","","954974.000000","","1073792.000000","",,,,,,,,,,,,,,
"90","Guinea","116","Potatoes","5532","Producer Price (USD/tonne)","USD",,,,,,,,,,,,,,,,,,,"340.609204","","364.511078","","368.450141","","385.403777","","168.986486","","156.415308","","188.882616","","245.494066","",,,,,,,,,,,,,,
"90","Guinea","211","Pulses, nes","5530","Producer Price (LCU/tonne)","LCU","169000.000000","","171000.000000","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"90","Guinea","211","Pulses, nes","5531","Producer Price (SLC/tonne)","SLC","169000.000000","","171000.000000","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"90","Guinea","211","Pulses, nes","5532","Producer Price (USD/tonne)","USD","224.180121","","189.578441","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"90","Guinea","27","Rice, paddy","5530","Producer Price (LCU/tonne)","LCU","166000.000000","","170000.000000","","145000.000000","","191000.000000","","243000.000000","","255000.000000","","232887.000000","","252302.000000","","480321.000000","F","708340.000000","","550000.000000","","769340.000000","","839990.000000","","327462.000000","","503822.000000","","677721.000000","","686073.000000","",,,,,,,,,,,,,,
"90","Guinea","27","Rice, paddy","5531","Producer Price (SLC/tonne)","SLC","166000.000000","","170000.000000","","145000.000000","","191000.000000","","243000.000000","","255000.000000","","232887.000000","","252302.000000","","480321.000000","F","708340.000000","","550000.000000","","769340.000000","","839990.000000","","327462.000000","","503822.000000","","677721.000000","","686073.000000","",,,,,,,,,,,,,,
"90","Guinea","27","Rice, paddy","5532","Producer Price (USD/tonne)","USD","220.200592","","188.469795","","151.754534","","195.569201","","245.105085","","253.979763","","212.619086","","203.990518","","346.201999","F","405.490964","","281.970595","","389.372845","","423.183423","","147.171948","","138.248183","","134.045236","","156.852398","",,,,,,,,,,,,,,
"90","Guinea","289","Sesame seed","5530","Producer Price (LCU/tonne)","LCU","253000.000000","","300000.000000","","300000.000000","","300000.000000","","300000.000000","","437000.000000","","442486.000000","","479373.000000","","440535.690000","F","361474.590000","F","334479.670000","F","332449.560000","F","360440.510000","F","538500.000000","","752364.000000","","975250.000000","","909667.000000","",,,,,,,,,,,,,,
"90","Guinea","289","Sesame seed","5531","Producer Price (SLC/tonne)","SLC","253000.000000","","300000.000000","","300000.000000","","300000.000000","","300000.000000","","437000.000000","","442486.000000","","479373.000000","","440535.690000","F","361474.590000","F","334479.670000","F","332449.560000","F","360440.510000","F","538500.000000","","752364.000000","","975250.000000","","909667.000000","",,,,,,,,,,,,,,
"90","Guinea","289","Sesame seed","5532","Producer Price (USD/tonne)","USD","335.606927","","332.593756","","313.974897","","307.176755","","302.598870","","435.251594","","403.976902","","387.581337","","317.525856","F","206.927012","F","171.478967","F","168.256988","F","181.588410","F","242.019209","","206.447824","","192.892970","","207.971237","",,,,,,,,,,,,,,
"90","Guinea","83","Sorghum","5530","Producer Price (LCU/tonne)","LCU","141000.000000","","144000.000000","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"90","Guinea","83","Sorghum","5531","Producer Price (SLC/tonne)","SLC","141000.000000","","144000.000000","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"90","Guinea","83","Sorghum","5532","Producer Price (USD/tonne)","USD","187.037852","","159.645003","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"90","Guinea","122","Sweet potatoes","5530","Producer Price (LCU/tonne)","LCU",,,,,,,,,,,,,,,,,,,"183000.000000","","288000.000000","","206000.000000","","192444.000000","","156883.000000","","308833.000000","","300944.000000","","228167.000000","",,,,,,,,,,,,,,
"90","Guinea","122","Sweet potatoes","5531","Producer Price (SLC/tonne)","SLC",,,,,,,,,,,,,,,,,,,"183000.000000","","288000.000000","","206000.000000","","192444.000000","","156883.000000","","308833.000000","","300944.000000","","228167.000000","",,,,,,,,,,,,,,
"90","Guinea","122","Sweet potatoes","5532","Producer Price (USD/tonne)","USD",,,,,,,,,,,,,,,,,,,"104.758797","","147.650057","","104.259243","","96.952476","","70.508263","","84.743423","","59.523181","","52.164334","",,,,,,,,,,,,,,
"90","Guinea","826","Tobacco, unmanufactured","5530","Producer Price (LCU/tonne)","LCU","553200.000000","","608500.000000","","608500.000000","","608500.000000","","608500.000000","","608500.000000","","616139.000000","","667503.000000","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"90","Guinea","826","Tobacco, unmanufactured","5531","Producer Price (SLC/tonne)","SLC","553200.000000","","608500.000000","","608500.000000","","608500.000000","","608500.000000","","608500.000000","","616139.000000","","667503.000000","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
