"Country Code","Country","Item Code","Item","Months Code","Months","Unit","Y2000","Y2000F","Y2001","Y2001F","Y2002","Y2002F","Y2003","Y2003F","Y2004","Y2004F","Y2005","Y2005F","Y2006","Y2006F","Y2007","Y2007F","Y2008","Y2008F","Y2009","Y2009F","Y2010","Y2010F","Y2011","Y2011F","Y2012","Y2012F","Y2013","Y2013F","Y2014","Y2014F"
"35","Cabo Verde","23013","Consumer Prices, Food Indices (2000 = 100)","7011","November","",,,,,,,,,,,"97.7","","104.4","","109.8","","119.3","","119.4","","123.7","","129.7","","135.7","","133.4","","133.1",""
"35","Cabo Verde","23013","Consumer Prices, Food Indices (2000 = 100)","7012","December","",,,,,,,,,,,"98.5","","103.7","","110.9","","118.7","","119.3","","124.7","","129.6","","136.8","","134.2","","133.9",""
"35","Cabo Verde","23013","Consumer Prices, Food Indices (2000 = 100)","7013","Year average","",,,,,,,"100.0","","96.5","","96.4","","102.7","","107.9","","117.7","","120.0","","122.6","","129.0","","132.4","","133.3","","131.8",""
"35","Cabo Verde","23012","Consumer Prices, General Indices (2000 = 100)","7001","January","","99.8","","98.6","","103.8","","107.1","","104.3","","103.8","","107.1","","114.5","","118.0","","125.0","","125.1","","129.0","","132.8","","138.8","","138.8",""
"35","Cabo Verde","23012","Consumer Prices, General Indices (2000 = 100)","7002","February","","99.4","","100.5","","103.7","","107.8","","103.9","","103.4","","107.4","","113.9","","118.8","","126.0","","125.4","","130.5","","133.7","","137.9","","138.6",""
"35","Cabo Verde","23012","Consumer Prices, General Indices (2000 = 100)","7003","March","","98.2","","101.5","","104.2","","107.3","","104.3","","103.4","","108.3","","114.7","","119.8","","124.7","","125.8","","131.1","","133.7","","137.2","","138.0",""
"35","Cabo Verde","23012","Consumer Prices, General Indices (2000 = 100)","7004","April","","99.1","","103.2","","104.4","","106.7","","103.9","","103.4","","109.9","","114.8","","121.5","","123.6","","126.2","","132.9","","134.3","","137.4","","137.1",""
"35","Cabo Verde","23012","Consumer Prices, General Indices (2000 = 100)","7005","May","","99.3","","103.6","","105.5","","106.6","","104.6","","103.1","","110.7","","114.7","","121.5","","123.8","","126.2","","132.8","","135.5","","137.4","","137.2",""
"35","Cabo Verde","23012","Consumer Prices, General Indices (2000 = 100)","7006","June","","99.3","","103.3","","103.3","","106.7","","104.0","","103.9","","111.2","","115.3","","123.4","","123.5","","127.0","","133.7","","135.8","","137.4","","137.3",""
"35","Cabo Verde","23012","Consumer Prices, General Indices (2000 = 100)","7007","July","","99.4","","104.5","","105.4","","107.3","","104.5","","105.1","","111.2","","115.8","","125.1","","124.2","","127.3","","133.9","","137.2","","138.1","","137.6",""
"35","Cabo Verde","23012","Consumer Prices, General Indices (2000 = 100)","7008","August","","102.4","","107.1","","106.2","","106.8","","105.2","","107.2","","112.2","","116.3","","125.8","","125.0","","128.7","","134.1","","137.0","","138.7","","137.7",""
"35","Cabo Verde","23012","Consumer Prices, General Indices (2000 = 100)","7009","September","","101.8","","107.7","","107.1","","106.7","","105.1","","107.3","","111.2","","116.1","","126.8","","125.3","","128.7","","134.8","","137.8","","139.3","","137.8",""
"35","Cabo Verde","23012","Consumer Prices, General Indices (2000 = 100)","7010","October","","101.1","","106.4","","106.9","","105.3","","104.7","","106.0","","111.2","","116.4","","128.3","","124.3","","128.2","","134.0","","138.8","","138.9","","137.9",""
"35","Cabo Verde","23012","Consumer Prices, General Indices (2000 = 100)","7011","November","","100.3","","104.9","","106.9","","104.7","","104.5","","105.8","","113.0","","116.3","","125.9","","124.6","","128.1","","133.5","","138.6","","138.6","","138.5",""
"35","Cabo Verde","23012","Consumer Prices, General Indices (2000 = 100)","7012","December","","100.3","","104.9","","107.6","","105.2","","104.9","","106.7","","113.2","","117.3","","125.2","","124.7","","129.0","","133.6","","139.2","","139.3","","138.7",""
"35","Cabo Verde","23012","Consumer Prices, General Indices (2000 = 100)","7013","Year average","","100.0","","99.6","","105.4","","106.5","","104.5","","104.9","","110.6","","115.5","","123.4","","124.6","","127.1","","132.8","","136.2","","138.3","","137.9",""
"32","Cameroon","23013","Consumer Prices, Food Indices (2000 = 100)","7001","January","","98.1","","102.3","","110.8","","111.0","","110.6","","108.4","","115.8","","116.1","","126.7","","136.6","","138.1","","144.8","","147.7","","155.4","","156.6",""
"32","Cameroon","23013","Consumer Prices, Food Indices (2000 = 100)","7002","February","","96.8","","102.0","","110.9","","111.1","","109.5","","108.3","","116.0","","115.2","","129.8","","137.0","","137.1","","144.7","","147.7","","154.0","","156.3",""
"32","Cameroon","23013","Consumer Prices, Food Indices (2000 = 100)","7003","March","","99.9","","102.9","","110.9","","111.7","","107.3","","108.3","","115.3","","115.9","","127.3","","136.6","","136.9","","143.6","","148.4","","154.0","","156.0",""
"32","Cameroon","23013","Consumer Prices, Food Indices (2000 = 100)","7004","April","","99.9","","104.6","","111.7","","111.4","","107.9","","107.7","","117.3","","115.7","","125.9","",,,,,"143.0","","149.5","","154.1","","155.3",""
"32","Cameroon","23013","Consumer Prices, Food Indices (2000 = 100)","7005","May","","101.0","","106.4","","111.1","","111.3","","109.3","","108.5","","118.7","","116.0","","126.7","",,,,,"143.9","","150.5","","155.0","","156.6",""
"32","Cameroon","23013","Consumer Prices, Food Indices (2000 = 100)","7006","June","","98.5","","106.8","","111.4","","111.0","","108.8","","108.1","","121.0","","116.7","","128.1","",,,,,"144.9","","150.8","","155.9","","155.6",""
"32","Cameroon","23013","Consumer Prices, Food Indices (2000 = 100)","7007","July","","100.4","","109.1","","112.6","","111.5","","108.0","","109.4","","121.1","","117.0","","129.2","",,,,,"145.9","","151.1","","155.0","","157.6",""
"32","Cameroon","23013","Consumer Prices, Food Indices (2000 = 100)","7008","August","","101.9","","112.1","","112.9","","111.4","","108.8","","110.7","","119.3","","118.0","","131.1","",,,,,"146.8","","152.5","","156.6","","157.6",""
"32","Cameroon","23013","Consumer Prices, Food Indices (2000 = 100)","7009","September","","102.1","","109.6","","114.1","","112.5","","110.0","","112.1","","120.7","","121.1","","131.9","",,,,,"148.4","","152.7","","157.1","","157.6",""
"32","Cameroon","23013","Consumer Prices, Food Indices (2000 = 100)","7010","October","","100.3","","110.0","","111.7","","111.7","","110.2","","113.0","","117.6","","122.3","","133.5","",,,,,"148.6","","154.0","","158.8","","157.9",""
"32","Cameroon","23013","Consumer Prices, Food Indices (2000 = 100)","7011","November","","100.5","","108.2","","113.8","","110.6","","109.9","","114.2","","114.8","","123.2","","134.4","",,,,,"148.7","","153.0","","159.2","","159.0",""
"32","Cameroon","23013","Consumer Prices, Food Indices (2000 = 100)","7012","December","","100.5","","109.6","","113.7","","111.0","","109.9","","115.5","","117.5","","125.2","","136.1","",,,,,"149.7","","156.2","","159.2","","159.7",""
"32","Cameroon","23013","Consumer Prices, Food Indices (2000 = 100)","7013","Year average","","100.0","","107.0","","112.1","","111.4","","109.2","","110.3","","117.9","","119.1","","130.0","","137.7","","139.4","","146.1","","151.2","","156.2","","157.2",""
"32","Cameroon","23012","Consumer Prices, General Indices (2000 = 100)","7001","January","","98.9","","102.2","","106.4","","108.0","","108.2","","109.2","","114.0","","115.8","","121.3","","126.8","","128.0","","131.6","","134.0","","137.7","","139.6",""
"32","Cameroon","23012","Consumer Prices, General Indices (2000 = 100)","7002","February","","97.9","","101.9","","106.7","","107.9","","108.1","","108.8","","114.3","","115.7","","122.9","","127.0","","127.7","","131.6","","134.0","","137.6","","139.4",""
"32","Cameroon","23012","Consumer Prices, General Indices (2000 = 100)","7003","March","","99.5","","102.4","","106.8","","108.1","","106.8","","109.5","","114.1","","115.5","","121.9","","126.8","","127.5","","131.1","","134.5","","137.7","","139.3",""
"32","Cameroon","23012","Consumer Prices, General Indices (2000 = 100)","7004","April","","99.5","","103.0","","106.9","","107.9","","107.3","","109.2","","115.1","","115.1","","121.4","","127.4","","127.7","","130.9","","134.9","","137.7","","138.9",""
"32","Cameroon","23012","Consumer Prices, General Indices (2000 = 100)","7005","May","","100.4","","103.7","","106.8","","107.8","","107.9","","109.7","","116.2","","115.4","","121.8","","128.0","","127.8","","131.5","","135.5","","137.9","","139.6",""
"32","Cameroon","23012","Consumer Prices, General Indices (2000 = 100)","7006","June","","99.3","","104.0","","107.2","","107.6","","107.9","","109.6","","118.1","","116.0","","122.6","","127.9","","128.1","","132.1","","135.6","","138.2","","139.3",""
"32","Cameroon","23012","Consumer Prices, General Indices (2000 = 100)","7007","July","","100.3","","105.4","","107.5","","107.9","","107.4","","110.2","","118.1","","115.8","","123.2","","127.3","","128.3","","132.7","","136.0","","138.2","","142.4",""
"32","Cameroon","23012","Consumer Prices, General Indices (2000 = 100)","7008","August","","101.2","","107.2","","107.9","","108.0","","108.1","","110.7","","117.7","","116.3","","124.3","","127.1","","128.9","","133.2","","136.7","","138.8","","142.5",""
"32","Cameroon","23012","Consumer Prices, General Indices (2000 = 100)","7009","September","","101.1","","105.9","","108.4","","108.5","","109.6","","111.3","","118.3","","117.9","","124.7","","126.9","","130.0","","133.9","","136.5","","139.3","","142.9",""
"32","Cameroon","23012","Consumer Prices, General Indices (2000 = 100)","7010","October","","100.3","","106.1","","107.2","","108.2","","109.9","","111.6","","116.5","","118.7","","125.4","","126.6","","130.4","","134.1","","137.2","","140.0","","142.8",""
"32","Cameroon","23012","Consumer Prices, General Indices (2000 = 100)","7011","November","","100.5","","105.2","","108.4","","108.2","","109.6","","112.6","","115.3","","119.1","","125.6","","127.1","","130.6","","134.2","","137.1","","140.1","","143.6",""
"32","Cameroon","23012","Consumer Prices, General Indices (2000 = 100)","7012","December","","101.0","","106.2","","108.7","","108.7","","109.8","","113.9","","116.2","","120.3","","126.7","","128.0","","131.2","","134.8","","138.2","","138.6","","144.1",""
"32","Cameroon","23012","Consumer Prices, General Indices (2000 = 100)","7013","Year average","","100.0","","104.4","","107.4","","108.1","","108.4","","110.5","","116.2","","117.2","","123.5","","127.2","","128.9","","132.7","","135.8","","138.5","","141.2",""
"59","Egypt","23013","Consumer Prices, Food Indices (2000 = 100)","7001","January","","99.0","","99.8","","103.4","","108.0","","92.7","","103.1","","108.2","","124.9","","141.8","","164.7","","204.6","","243.3","","270.5","","291.7","","345.9",""
"59","Egypt","23013","Consumer Prices, Food Indices (2000 = 100)","7002","February","","98.9","","100.0","","103.5","","108.6","","97.2","","102.1","","108.5","","126.1","","147.4","","168.6","","206.3","","243.8","","274.5","","300.1","","347.2",""
"59","Egypt","23013","Consumer Prices, Food Indices (2000 = 100)","7003","March","","99.3","","100.4","","104.2","","109.8","","99.0","","103.3","","108.6","","127.3","","153.4","","172.9","","209.1","","252.0","","279.6","","304.4","","351.9",""
"59","Egypt","23013","Consumer Prices, Food Indices (2000 = 100)","7004","April","","99.6","","100.2","","104.3","","110.6","","100.1","","103.7","","109.6","","127.8","","155.9","","177.2","","212.6","","258.6","","286.7","","312.5","","354.3",""
"59","Egypt","23013","Consumer Prices, Food Indices (2000 = 100)","7005","May","","99.8","","100.3","","104.7","","111.5","","99.9","","104.7","","112.8","","127.1","","161.5","","181.7","","214.8","","257.5","","285.2","","310.8","","347.2",""
"59","Egypt","23013","Consumer Prices, Food Indices (2000 = 100)","7006","June","","99.8","","100.7","","105.0","","112.0","","100.1","","104.2","","116.3","","128.0","","162.7","","182.6","","216.7","","257.8","","281.5","","317.2","","353.1",""
"59","Egypt","23013","Consumer Prices, Food Indices (2000 = 100)","7007","July","","100.2","","101.3","","105.3","","112.7","","99.7","","104.8","","116.2","","129.3","","167.9","","190.3","","224.8","","262.2","","283.4","","322.6","","362.7",""
"59","Egypt","23013","Consumer Prices, Food Indices (2000 = 100)","7008","August","","100.5","","101.5","","105.6","","113.1","","99.3","","105.3","","116.0","","132.3","","173.1","","196.3","","239.2","","268.4","","290.5","","327.9","","366.0",""
"59","Egypt","23013","Consumer Prices, Food Indices (2000 = 100)","7009","September","","100.7","","101.6","","106.3","","114.3","","101.0","","106.4","","118.8","","138.3","","173.4","","203.6","","248.2","","270.4","","295.6","","334.0","","373.4",""
"59","Egypt","23013","Consumer Prices, Food Indices (2000 = 100)","7010","October","","100.5","","102.2","","106.6","","114.9","","103.9","","107.3","","123.5","","135.8","","170.9","","208.8","","247.7","","269.2","","293.0","","337.9","","376.8",""
"59","Egypt","23013","Consumer Prices, Food Indices (2000 = 100)","7011","November","","100.8","","101.9","","107.3","","115.3","","103.0","","107.7","","124.3","","134.9","","170.5","","208.2","","242.2","","270.3","","285.0","","339.6","","363.6",""
"59","Egypt","23013","Consumer Prices, Food Indices (2000 = 100)","7012","December","","100.7","","102.4","","107.4","","116.5","","103.7","","107.9","","125.1","","135.9","","165.6","","202.6","","237.6","","268.8","","284.4","","334.3","","362.4",""
