"Sector(s):","Total Bilateral Aid To All Sectors","","Flow(s):","ODA","","Donor(s):","All Donors, Total","","Flow Type(s):","Net Disbursements","","Amount:","Current Prices (USD millions)","",

"","Time Period","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Recipient(s)",
"Cambodia","","27.29","25.17","22.16","23.75","12.71","9.73","11.33","13.94","10.23","12.7","18.83","40.24","67.15","145.68","307.68","81.86","0.72","0.3","0.27","107.99","268.67","112.45","35.89","39.03","21.81","13.84","15.31","16.62","20.27","24.72","41.31","89.71","200.52","300.51","313.35","551","416.53","335.33","337.44","277.22","395.72","420.88","485.24","518.31","485.37","535.6","529.37","674.58","742.84","721.44","733.12","795.35","807.43","805.36","799.37"
"Cameroon","","0.38","7.12","9.45","8.9","27.76","32.28","48.59","37.86","47.86","37.55","59.27","48.19","62.86","60.88","61.89","109.62","135.06","179.43","179.62","276.82","264.76","198.27","211.98","127.66","182.99","152.48","216.49","203.12","275.63","452.65","444.38","516.26","714.78","543.72","730.08","442.8","410.19","498.77","497.31","434.29","376.73","457.76","605.85","885.98","790.66","413.93","1718.93","1926.29","548.59","648.34","540.92","611.37","596.19","747.85","852.29"
"Cayman Islands","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1.68","1.59","2.1","1.49","3.24","0.74","1.49","0.99","0.57","0.38","0.35","0.07","1.97","2.19","12.09","1.23","2.99","-0.29","0","-0.46","-1.02","-0.57","-2.03","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Central African Republic","","0.03","0.42","1.14","1.98","16.79","15.78","15.66","20.57","17.29","19.81","14.38","15.55","25.65","25.6","36.58","54.75","38.69","44.89","50.95","83.36","110.12","101.2","89.46","92.36","131.69","103.85","135.14","180.01","204.69","188.76","248.89","173.44","177.65","171.74","167.56","167.78","168.63","91","119.95","118.09","75.28","76.39","60.24","51.25","109.83","88.9","133.66","176.92","257.28","242.03","260.99","268.78","227.25","202.08","610.36"
"Chad","","0.03","3.26","5.52","5.56","16.55","18.27","19.01","19.83","21.72","23.75","22.35","30.41","30.79","45.28","78.48","66.73","60.88","81.6","123.15","84.74","34.99","59.56","64.15","87.43","111.41","179.05","160.31","201.79","260.69","250.57","310.58","262.31","236.7","223.47","212.29","235.02","295.78","227.86","174.37","187.85","131.29","188.56","229.54","253.55","337.66","384.54","289.25","359.1","421.72","560.73","490.66","458.05","472.35","457.78","388.34"
"Chile","","13.01","117.04","132.88","141.89","131.96","112.85","135.08","102.3","84.86","95.15","72.36","47.9","49.7","48.73","23.6","126.91","7.3","10.6","7.16","-27.89","-10.55","-7.25","-8.84","0.1","2.25","40.01","-5.15","21.31","44.33","61.69","103.54","120.86","131.29","173.63","150.08","156.55","195.36","128.92","106.33","69.9","48.88","75.27","-7.34","85.69","54.37","167.34","101.39","104.9","107.85","78.72","197.38","164.29","124.98","79.14","240.56"
"China (People's Republic of)","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","16.85","65.5","475.9","523.38","668.8","797.48","938.75","1095.22","1377.94","1919.06","2070.83","2032.37","1932.58","2993.63","3206.88","3138.61","3470.67","2640.04","2047.39","2438.57","2379.25","1711.75","1549.03","1496.78","1358.55","1715.75","1814.3","1247.87","1487.94","1479.51","1129.47","645.37","-608.35","-192.95","-671.75","-959.96"
"Chinese Taipei","","103.48","113.58","78.55","77.23","51.79","57.75","66.27","56.31","56.64","20.33","9.57","9.74","5.81","-26.02","-17.8","-19.76","-20.78","16.7","6.37","3.7","-3.56","7.76","-6.37","8.17","5.41","-9.74","-10.11","-8.5","-6.9","2.12","36.34","3.48","5.93","7.41","6.24","0.22","15.78","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Colombia","","-11.43","45.5","46.59","74.74","54.6","36.94","92.83","108.88","191.82","120.81","159.89","129.77","119.58","147.23","106.44","82.51","75.1","48.31","70.67","53.73","89.82","101.23","95.94","85.43","87.6","61.08","62.92","77.45","62.5","67.38","88.54","113.39","231.64","83.44","74.37","168.93","186.86","194.09","167.08","301.61","185.94","384.36","438.4","800.37","514.75","620.52","1005.24","722.78","972.01","1059.45","674.7","1013.78","762.97","854.09","1221.31"
"Comoros","","..","..","..","..","..","..","6.1","9.7","7.85","6.36","7.89","8.82","10.21","17.62","27.34","21.56","25.26","12.09","13.44","19.58","43.25","46.37","38.07","37.63","42.68","47.13","45.93","54.07","51.22","44.07","44.88","63.3","47.87","48.62","38.7","41.6","38.71","29.67","40.09","21.45","18.71","27.56","27.58","24.54","26.32","22.82","31.88","44.98","41.64","50.45","67.22","51.92","68.67","79.01","73.97"
